text,label
Not worth the money at all.,negative
"It was okay, nothing special.",neutral
Highly recommend to everyone!,positive
Disappointed with the build quality.,negative
"Great product, happy with it.",positive
"Neutral opinion, works as expected.",neutral
Worst purchase I've ever made.,negative
"I love this product, it's amazing!",positive
Outstanding quality and fast delivery.,positive
"Terrible experience, very disappointed.",negative
Pretty decent for the price.,neutral
Exceeded my expectations completely.,positive
