grievance_text,severity
having delay in response continuously,Low
still speed is low,Low
KEEPS DROPPING SINCE MORNING!!! bhai,Low
data loss problem since morning since long time yaar,Low
"please check, still wifi down bhai",High
connection gone not resolved yet yaar,High
no connection from last night bhai,High
WIFI DOWN AGAIN!!! yaar,High
having net too slow continuously yaar,Low
keeps dropping from last night since long time,Low
"please check, net not working since morning kya ho raha hai",High
"LAG ISSUE, WHAT IS THIS?!!!",Low
"please check, packet loss happening pls fix bhai",Low
having dns not resolving continuously kya ho raha hai,Low
"please check, wifi down since morning kya ho raha hai",High
having router problem continuously bhai,Low
HAVING SPEED IS LOW CONTINUOUSLY!!!,Low
lag problem not resolved yet since long time yaar,Low
"please check, net very slow bhai",Low
still no connection since long time,High
"please check, net gone again kya ho raha hai",High
keeps dropping bhai,Low
wifi down not resolved yet yaar,High
router problem since morning,Low
HAVING connection GONE CONTINUOUSLY!!! kya ho raha hai,High
"please check, wifi down yaar",High
dns not resolving kya masla hai,Low
disconnecting again and again since morning since long time yaar,Low
STILL wifi GONE!!! bhai,High
"please check, wifi down again",High
delay in response pls fix since long time,Low
"no connection, what is this? since long time yaar",High
DELAY IN RESPONSE AGAIN!!! kya ho raha hai,Low
still wifi down since long time yaar,High
speed is low from last night since long time kya ho raha hai,Low
"please check, having router problem continuously kya ho raha hai",Low
"please check, dns not resolving since morning kya masla hai",Low
"please check, still disconnecting again and again kya ho raha hai",Low
wifi down pls fix since long time bhai,High
delay in response again kya masla hai,Low
no connection from last night since long time,High
wifi gone from last night bhai,High
facing cannot access sites since long time,Low
"please check, buffering issue yaar",Low
WIFI DOWN SINCE MORNING!!! yaar,High
"please check, ping too high, what is this? kya ho raha hai",Low
"please check, net not working bhai",High
wifi gone from last night kya ho raha hai,High
"please check, dns not resolving since morning yaar",Low
NET SLOW!!! kya ho raha hai,Low
having no connection continuously bhai,High
"please check, buffering trouble since morning bhai",Low
still speed is low,Low
wifi down since morning since long time,High
"please check, connection not working, what is this?",High
wifi NOT WORKING!!! bhai,High
STILL NO CONNECTION!!! yaar,High
STILL ROUTER NOT WORKING!!! kya ho raha hai,Low
internet very slow pls fix,Low
no connection from last night bhai,High
STILL ROUTER NOT WORKING!!!,Low
"please check, internet gone from last night yaar",High
ping too high since long time,Low
no connection again,High
wifi down pls fix bhai,High
intrnet very very slow yaar,Low
wifi NOT WORKING!!! bhai,High
HAVING LAG trouble CONTINUOUSLY!!!,Low
LAG trouble AGAIN!!! bhai,Low
having internet not working continuously kya ho raha hai,High
net slow not resolved yet since long time,Low
"please check, no connection",High
lag problem,Low
"please check, dns not resolving again",Low
"please check, having dns not resolving continuously kya ho raha hai",Low
facing ping too high kya ho raha hai,Low
NET too slow AGAIN!!! bhai,Low
buffering issue since long time,Low
"please check, facing ping too high bhai",Low
wifi down again bhai,High
NET SLOW PLS FIX!!! bhai,Low
"please check, wifi down kya masla hai",High
"router not working, what is this? since long time",Low
net VERY SLOW FROM LAST NIGHT!!! yaar,Low
WIFI DOWN FROM LAST NIGHT!!! yaar,High
internet not running since morning since long time kya ho raha hai,High
ROUTER PROBLEM PLS FIX!!!,Low
"please check, lag issue not resolved yet",Low
packet loss happening from last night since long time bhai,Low
"please check, internet gone not resolved yet",High
SPEED IS LOW AGAIN!!!,Low
"please check, unstable connection not resolved yet bhai",Low
SPEED IS LOW AGAIN!!! bhai,Low
net not working again since long time yaar,High
STILL wifi NOT WORKING!!!,High
BUFFERING trouble SINCE MORNING!!! bhai,Low
"please check, speed is low kya ho raha hai",Low
NO CONNECTION AGAIN!!! kya masla hai,High
"internet very slow, what is this? since long time",Low
"INTERNET NOT WORKING, WHAT IS THIS?!!! bhai",High
buffering problem from last night since long time bhai,Low
NO CONNECTION NOT RESOLVED YET!!! bhai,High
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!! kya ho raha hai,Low
"please check, net gone not resolved yet",High
data loss problem since morning,Low
wifi down since long time bhai,High
"please check, having internet not working continuously bhai",High
disconnecting again and again not resolved yet since long time bhai,Low
FACING NO CONNECTION!!! yaar,High
UNSTABLE CONNECTION SINCE MORNING!!! kya ho raha hai,Low
no connection from last night kya masla hai,High
dns not resolving since morning since long time yaar,Low
FACING DELAY IN RESPONSE!!! yaar,Low
internet gone since morning bhai,High
HAVING NET too slow CONTINUOUSLY!!! bhai,Low
router problem again since long time kya ho raha hai,Low
"please check, delay in response pls fix bhai",Low
net slow pls fix since long time bhai,Low
"please check, internet not working pls fix kya ho raha hai",High
internet gone from last night since long time yaar,High
"please check, wifi down since morning",High
wifi down not resolved yet,High
PACKET LOSS HAPPENING AGAIN!!! kya masla hai,Low
NO CONNECTION NOT RESOLVED YET!!! kya ho raha hai,High
still internet not functioning,High
WIFI DOWN FROM LAST NIGHT!!! bhai,High
packet loss happening again since long time yaar,Low
router problem from last night kya masla hai,Low
internet not working again,High
"please check, net not working pls fix kya ho raha hai",High
"please check, connection gone again kya ho raha hai",High
buffering problem again since long time,Low
having wifi down continuously since long time bhai,High
having ping too high continuously kya ho raha hai,Low
"please check, router not running since morning",Low
net gone again since long time,High
buffering trouble not resolved yet bhai,Low
still connection gone kya ho raha hai,High
lag trouble pls fix since long time,Low
keeps dropping pls fix since long time,Low
still wifi down kya masla hai,High
"please check, internet not working since morning bhai",High
wifi down again since long time bhai,High
wifi down again since long time kya masla hai,High
data loss trouble again bhai,Low
"delay in response, what is this?",Low
"internet gone, what is this? since long time bhai",High
still ping too high since long time kya ho raha hai,Low
packet loss happening since morning since long time kya ho raha hai,Low
still unstable connection since long time,Low
dns not resolving from last night since long time,Low
net GONE PLS FIX!!! kya masla hai,High
"SPEED IS LOW, WHAT IS THIS?!!!",Low
STILL NO CONNECTION!!!,High
NET SLOW AGAIN!!! kya masla hai,Low
"please check, data loss issue, what is this? kya ho raha hai",Low
having net not working continuously since long time yaar,High
INTERNET GONE AGAIN!!!,High
delay in response since morning since long time yaar,Low
internet gone bhai,High
internet not working from last night since long time bhai,High
net too slow pls fix since long time yaar,Low
still ping too high bhai,Low
"please check, net gone pls fix bhai",High
unstable connection since long time kya ho raha hai,Low
still wifi not working yaar,High
wifi down again since long time bhai,High
"please check, no connection since morning yaar",High
net gone again since long time,High
STILL WIFI DOWN!!! bhai,High
net gone again kya ho raha hai,High
"please check, facing packet loss happening yaar",Low
"please check, unstable connection pls fix",Low
router problem,Low
DELAY IN RESPONSE PLS FIX!!! yaar,Low
having router not working continuously since long time,Low
WIFI DOWN NOT RESOLVED YET!!!,High
still packet loss happening,Low
"please check, wifi down kya ho raha hai",High
"please check, buffering issue since morning yaar",Low
facing speed is low since long time,Low
facing disconnecting again and again since long time kya masla hai,Low
"please check, buffering trouble kya masla hai",Low
"please check, unstable connection since morning",Low
"please check, facing speed is low",Low
no connection not resolved yet yaar,High
KEEPS DROPPING NOT RESOLVED YET!!! bhai,Low
buffering issue,Low
"please check, wifi down from last night kya masla hai",High
having cannot access sites continuously since long time kya ho raha hai,Low
FACING DATA LOSS ISSUE!!! bhai,Low
connection gone not resolved yet since long time yaar,High
PACKET LOSS HAPPENING SINCE MORNING!!! yaar,Low
net not working not resolved yet bhai,High
delay in response pls fix yaar,Low
wifi GONE FROM LAST NIGHT!!!,High
"please check, speed is low kya ho raha hai",Low
no connection since morning yaar,High
connection gone from last night since long time,High
net very slow pls fix kya ho raha hai,Low
"wifi down, what is this? since long time bhai",High
"please check, data loss problem since morning",Low
wifi not wrkng kya ho raha hai,High
facing no connection since long time bhai,High
HAVING KEEPS DROPPING CONTINUOUSLY!!!,Low
INTERNET NOT WORKING PLS FIX!!! kya ho raha hai,High
unstable connection from last night since long time,Low
internet not working from last night since long time yaar,High
internet gone again since long time kya ho raha hai,High
"please check, wifi not wrkng, what is this? yaar",High
no connection again since long time bhai,High
wifi down since morning,High
net GONE AGAIN!!!,High
still no connection since long time yaar,High
connection not working from last night kya ho raha hai,High
"keeps dropping, what is this? since long time",Low
"please check, facing ping too high",Low
WIFI DOWN PLS FIX!!! kya ho raha hai,High
KEEPS DROPPING AGAIN!!!,Low
facing dns not resolving yaar,Low
having unstable connection continuously since long time bhai,Low
"please check, disconnecting again and again not resolved yet yaar",Low
internet not functioning since morning,High
wifi down from last night since long time,High
INTERNET VERY SLOW SINCE MORNING!!! yaar,Low
lag problem since morning since long time yaar,Low
"please check, still wifi down kya ho raha hai",High
INTERNET NOT functioning AGAIN!!!,High
"please check, dns not resolving pls fix bhai",Low
still buffering problem yaar,Low
wifi down pls fix,High
"speed is low, what is this? yaar",Low
HAVING wifi VERY SLOW CONTINUOUSLY!!! bhai,Low
speed is low since long time,Low
facing internet not running kya masla hai,High
still net gone,High
"CANNOT ACCESS SITES, WHAT IS THIS?!!! yaar",Low
"please check, no connection again",High
intrnet not working again since long time bhai,High
"please check, no connection yaar",High
"data loss issue, what is this? bhai",Low
internet not running since morning,High
STILL NO CONNECTION!!! asap,High
DATA LOSS trouble AGAIN!!! yaar,Low
PACKET LOSS HAPPENING!!!,Low
no connection again bhai,High
HAVING WIFI DOWN CONTINUOUSLY!!! bhai,High
buffering issue from last night kya ho raha hai,Low
buffering issue not resolved yet,Low
speed is low since morning since long time yaar,Low
wifi down since long time kya masla hai,High
having data loss problem continuously,Low
net gone from last night since long time,High
having wifi gone continuously yaar,High
INTERNET NOT running FROM LAST NIGHT!!! bhai,High
unstable connection since morning,Low
having disconnecting again and again continuously yaar,Low
"router problem, what is this? since long time kya ho raha hai",Low
WIFI DOWN PLS FIX!!! bhai,High
internet very too slow since long time,Low
SPEED IS LOW FROM LAST NIGHT!!! kya ho raha hai,Low
NO CONNECTION FROM LAST NIGHT!!!,High
"please check, buffering trouble from last night yaar",Low
"please check, data loss trouble again yaar",Low
keeps dropping again kya ho raha hai,Low
net not working since morning,High
having packet loss happening continuously bhai,Low
"please check, router not functioning from last night yaar",Low
router not working since morning bhai,Low
no connection not resolved yet kya ho raha hai,High
"please check, unstable connection since morning bhai",Low
"please check, disconnecting again and again again kya masla hai",Low
lag problem pls fix since long time kya ho raha hai,Low
no connection,High
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!!,Low
"CANNOT ACCESS SITES, WHAT IS THIS?!!! kya masla hai",Low
connection not working again since long time yaar,High
DELAY IN RESPONSE FROM LAST NIGHT!!! bhai,Low
SPEED IS LOW FROM LAST NIGHT!!!,Low
wifi down again since long time,High
still wifi down yaar,High
"net VERY SLOW, WHAT IS THIS?!!! kya masla hai",Low
disconnecting again and again since morning kya ho raha hai,Low
STILL DELAY IN RESPONSE!!! kya ho raha hai,Low
net gone again yaar,High
no connection since long time yaar,High
wifi not working again since long time yaar,High
delay in response not resolved yet since long time,Low
"please check, connection not working, what is this? kya ho raha hai",High
"please check, router problem not resolved yet",Low
internet not functioning since morning yaar,High
wifi NOT WORKING!!! kya ho raha hai,High
internet not functioning again since long time,High
PING TOO HIGH!!! bhai,Low
still internet not working since long time kya masla hai,High
ping too high pls fix since long time kya ho raha hai,Low
WIFI DOWN NOT RESOLVED YET!!!,High
still lag trouble since long time yaar,Low
"router not working, what is this? since long time bhai",Low
"delay in response, what is this?",Low
"please check, buffering problem not resolved yet yaar",Low
facing unstable connection kya ho raha hai,Low
intrnet gone since morning,High
FACING NET SLOW!!! kya ho raha hai,Low
connection gone,High
data loss issue again,Low
having router not functioning continuously since long time kya ho raha hai,Low
"please check, internet very lagging kya ho raha hai",Low
"please check, no connection since morning kya ho raha hai",High
KEEPS DROPPING AGAIN!!! bhai,Low
internet gone from last night since long time,High
connection VERY SLOW PLS FIX!!! yaar,Low
disconnecting again and again from last night kya ho raha hai,Low
"please check, speed is low bhai",Low
INTERNET NOT functioning PLS FIX!!! kya ho raha hai,High
speed is low since long time yaar,Low
unstable connection from last night since long time kya masla hai,Low
"please check, facing router problem yaar",Low
"please check, speed is low again yaar",Low
CANNOT ACCESS SITES!!!,Low
delay in response from last night bhai,Low
WIFI DOWN SINCE MORNING!!! bhai,High
"please check, net not working again yaar",High
INTERNET VERY SLOW SINCE MORNING!!!,Low
wifi down since morning since long time yaar,High
LAG ISSUE SINCE MORNING!!! bhai,Low
dns not resolving since morning since long time,Low
facing dns not resolving,Low
"please check, intrnet very lagging again kya ho raha hai",Low
"please check, internet not working pls fix",High
facing no connection since long time bhai,High
"please check, facing keeps dropping yaar",Low
no connection pls fix since long time,High
disconnecting again and again from last night since long time kya ho raha hai,Low
having connection gone continuously,High
"please check, keeps dropping, what is this? bhai",Low
connection gone pls fix,High
KEEPS DROPPING NOT RESOLVED YET!!! kya ho raha hai,Low
wifi down since morning since long time bhai,High
"please check, internet gone again",High
router problem since long time yaar,Low
BUFFERING trouble NOT RESOLVED YET!!! yaar,Low
FACING ROUTER PROBLEM!!! bhai,Low
"connection NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",High
wifi gone again since long time kya ho raha hai,High
data loss problem since morning since long time,Low
facing speed is low since long time,Low
WIFI DOWN FROM LAST NIGHT!!! yaar,High
"dns not resolving, what is this? yaar",Low
wifi down again since long time,High
"please check, internet gone again bhai",High
ROUTER NOT functioning PLS FIX!!! bhai,Low
"please check, no connection again",High
wifi GONE AGAIN!!!,High
"please check, internet gone pls fix",High
net not working since morning bhai,High
still connection gone,High
"disconnecting again and again, what is this? since long time bhai",Low
connection very slow again since long time,Low
"delay in response, what is this? yaar",Low
having no connection continuously since long time bhai,High
FACING WIFI DOWN!!!,High
FACING DNS NOT RESOLVING!!!,Low
still packet loss happening since long time kya ho raha hai,Low
facing intrnet very slow since long time yaar,Low
"delay in response, what is this? yaar",Low
"please check, wifi down since morning bhai",High
wifi gone again bhai,High
"net NOT WORKING, WHAT IS THIS?!!! yaar",High
net gone not resolved yet yaar,High
"please check, internet not working from last night bhai",High
PACKET LOSS HAPPENING SINCE MORNING!!!,Low
"please check, delay in response, what is this? bhai",Low
internet very very slow not resolved yet,Low
keeps dropping not resolved yet kya ho raha hai,Low
wifi gone not resolved yet since long time yaar,High
"please check, unstable connection from last night yaar",Low
still dns not resolving bhai,Low
still internet very slow kya masla hai,Low
HAVING CANNOT ACCESS SITES CONTINUOUSLY!!! bhai,Low
"please check, packet loss happening, what is this? kya ho raha hai",Low
"please check, still wifi down yaar",High
"please check, wifi gone from last night bhai",High
"please check, wifi down pls fix kya masla hai",High
"please check, internet gone pls fix yaar",High
"WIFI DOWN, WHAT IS THIS?!!! bhai",High
"please check, still wifi gone kya ho raha hai",High
wifi down from last night since long time,High
"please check, no connection, what is this? bhai",High
"please check, still wifi down",High
"net very slow, what is this? since long time kya ho raha hai",Low
BUFFERING trouble FROM LAST NIGHT!!! bhai,Low
buffering problem from last night since long time kya ho raha hai,Low
packet loss happening pls fix since long time kya ho raha hai,Low
ping too high from last night bhai,Low
"please check, facing speed is low kya ho raha hai",Low
"please check, internet not working since morning yaar",High
"router problem, what is this?",Low
NO CONNECTION AGAIN!!!,High
internet gone pls fix since long time kya masla hai,High
WIFI DOWN PLS FIX!!! bhai,High
BUFFERING ISSUE PLS FIX!!! yaar,Low
unstable connection,Low
"please check, internet not functioning since morning",High
ping too high from last night since long time kya ho raha hai,Low
FACING DISCONNECTING AGAIN AND AGAIN!!! bhai,Low
data loss issue,Low
WIFI DOWN!!! kya ho raha hai,High
HAVING DELAY IN RESPONSE CONTINUOUSLY!!! bhai,Low
SPEED IS LOW AGAIN!!! yaar,Low
no connection since morning,High
"dns not resolving, what is this? since long time bhai",Low
no connection pls fix since long time,High
